X0,X1,labels
0.03991891309089467,0.04157778138024988,sand
0.03277807012247541,0.041349420375792756,wool
0.03556943919175282,0.024356171630318214,brick
0.0176839340970079,0.0741788528351445,leather
0.021106773395515553,0.019379829082383247,water
0.03819021994237742,0.040241187156612825,sand
0.029414830019952657,0.03412754407525376,pigskin
0.06763851134560749,0.049131022459868716,weave
0.03259106874302932,0.041788143859917894,raffia
0.03035149245676262,0.038844895425835135,wool
0.03717950955334688,0.040152970747514206,sand
0.07084281744220536,0.04960021826312365,weave
0.027623717707250146,0.019064246968409387,wood
0.04006672640110391,0.04191056394837925,sand
0.019076892847743974,0.018656368311176785,water
0.03125572776908898,0.03682851090544097,pigskin
0.016691642681573218,0.07384870418553353,leather
0.02988196858064398,0.03507220204808765,pigskin
0.016753059512398295,0.07296242551824642,leather
0.03298896170238963,0.04290874456345869,raffia
0.026235347019464308,0.042721462842100155,bark
0.01952407654999727,0.018127636252112774,water
0.027816161197466792,0.04431495496667238,bark
0.03376786947315944,0.026420719304661843,straw
0.02676467162955706,0.04313699418705903,bark
0.0353532289601641,0.024103135960076443,brick
0.02097044124679039,0.019472739070366243,water
0.038716210072857665,0.041311320233799555,sand
0.016637332648376267,0.025012546968708062,bubbles
0.04505188686439659,0.07176461045702646,grass
0.0313505417606322,0.040486825415303206,wool
0.01963274225046728,0.01851604810727188,water
0.03274633847370049,0.04094524461944454,wool
0.03560642036305674,0.02445372559262934,brick
0.026892755545821843,0.041969931169847034,bark
0.03176061759585992,0.027592634381559965,straw
0.03300987481068322,0.026647733366015537,straw
0.01615200530700344,0.02497825818638208,bubbles
0.03058340002046281,0.03576786972834677,pigskin
0.07107193441504976,0.05061869274013349,weave
0.027938970158301307,0.043654844214353845,bark
0.029773912391303205,0.03867055061117059,raffia
0.03844819221063328,0.04115059817322525,sand
0.02783811926057933,0.01861203994025279,wood
0.027108173773380227,0.0430554465217834,bark
0.0292718716552471,0.038097866600293885,raffia
0.016200126079180043,0.0246204758842133,bubbles
0.02945499330088434,0.03435188295836013,pigskin
0.028260970689033806,0.03322059403124451,pigskin
0.06754379443181108,0.048003246433926984,weave
0.026771829342108016,0.04304669160798122,bark
0.03228624935281435,0.040059337359047674,wool
0.01637372898824836,0.025768731186734836,bubbles
0.02902487426115077,0.02625242767957924,straw
0.04455959096857291,0.06859728938849398,grass
0.031232568878044698,0.02587132442206983,straw
0.01686690479896462,0.07426163980930316,leather
0.017048139303228443,0.07004080827654662,leather
0.036936398491869644,0.03915126057580932,sand
0.06998416707437585,0.051264102220611424,weave
0.026413915844396885,0.01838580902303016,wood
0.027233883863971877,0.018957193481376308,wood
0.031885341874538,0.04117756970739578,wool
0.016682019867614802,0.025029752502290604,bubbles
0.030466400880584193,0.03897043513155531,wool
0.044209833755868996,0.06844250191882044,grass
0.016780006315762673,0.07482966617073854,leather
0.020490324866379823,0.018698123277993105,water
0.035480010785762926,0.02427245545209578,brick
0.0297835030209514,0.018082908551363405,wood
0.04542634851792279,0.07255583443797561,grass
0.030888233062410047,0.025267789751225275,straw
0.04083024860981958,0.06441522683393518,grass
0.035565460659902084,0.023997046880601402,brick
0.06730646438147189,0.04790009048965958,weave
0.03346440255326298,0.044814400625047324,raffia
0.04181443105324608,0.06779497235256574,grass
0.06955089338730061,0.048840721181575085,weave
0.028779794368957824,0.01775477129628716,wood
0.02831638631658907,0.019210266601892827,wood
0.01574447802197355,0.02467588307779604,bubbles
0.03525290755128409,0.023985878746972642,brick
0.030185307431590216,0.04126853265429448,raffia
0.033755580004491366,0.047485703212321685,raffia
0.03564679081109421,0.023993516434156273,brick
0.01693667532774524,0.025467604475877478,bubbles
0.02875583750125491,0.034127117654551634,pigskin
0.02073586360918105,0.019470033635636787,water
0.04131723222554481,0.06484025977123743,grass
0.017412572067221313,0.0680642922271008,leather
0.02927999637479999,0.02487677140291239,straw
